景点名称,景区评级,地点,标签列表,热度值,评分,评价数量
黄帝千古情,4A,新郑,"全息秀带来沉浸幻境, 遛娃宝藏地",4.0,4.7,1809条点评
天河大峡谷(倒回沟)景区,4A,栾川,自然山水,4.0,4.3,100条点评
洛阳龙凤山景区,4A,伊川,夜游观景,4.0,3.9,19条点评
五龙山野生动物王国,,辉县,"观动物萌态，赏动物表演, 亲近动物",3.9,4.2,352条点评
城寨沙场,,开封,,4.0,4.2,5条点评
夫子山景区,,永城,儒文化体验与游山玩水结合,3.9,4.2,45条点评
西河景区,4A,商城,"飞瀑流泉融合红色古迹, 自然山水",4.0,4.2,100条点评
西河景区,,商城,"飞瀑流泉融合红色古迹, 自然山水",4.0,4.2,100条点评
金刚台峡谷漂流,,商城,遛娃宝藏地,4.0,4.2,136条点评
卢崖瀑布风景区,,登封,"似千丈珠帘高挂长空, 自然山水",3.9,4.2,114条点评
青龙峡,,修武,"峡长谷幽，潭泉溪瀑遍布, 自然山水",3.9,4.2,230条点评
禹州钧官窑址博物馆,4A,禹州,"了解禹州陶瓷的发展历史, 博物馆&展馆",3.9,4.8,112条点评
齐云塔,,洛阳,历史建筑,3.9,4.6,89条点评
中天门广场,,栾川,地标观景,3.9,5,3条点评
王相岩,,林州,"传说商王和宰相曾在此居住, 登高爬山",3.9,4.3,75条点评
马氏庄园,4A,安阳县,历史建筑,3.9,,377条点评
周口恐龙欢乐世界,,周口,夜游观景,3.9,4.8,25条点评
应天书院,4A,商丘,"位于闹市中，承接儒家文化, 历史建筑",3.9,3.8,135条点评
应天书院,,商丘,"位于闹市中，承接儒家文化, 历史建筑",3.9,3.8,135条点评
樱桃沟旅游景区,4A,郑州,有年年结果的百年樱桃老树,3.9,4.3,55条点评
洛阳 · 【笑场喜剧】洛阳必打卡丨脱口秀开放麦丨喜剧盲盒【爆笑解压】,,洛阳,演出,3.9,,
老界岭滑雪场,,西峡,"赏云海观日出, 登高爬山",3.8,3.3,57条点评
何家寨露营地,,信阳,茶生活星空朝阳星空与浪漫,3.9,4.7,6条点评
洛阳牡丹园,,洛阳,"涵括洛阳所有牡丹的品种, 植物园",3.8,4.3,153条点评
紫荆山公园,,郑州,"参观部分商代遗址, 夜游观景",3.8,4.6,300条点评
郑州植物园,,郑州,"中原地区植物基因库, 遛娃宝藏地",3.8,4.7,136条点评
郑州 · 假面喜剧 | 脱口秀开放麦盲盒@二七万象城黄房子剧场,,郑州,演出,3.8,,
如意·龙湖城市水上夜游,,郑州,夜游观景,3.8,4.8,8条点评
商丘博物馆,4A,商丘,"了解商文化历史文明, 博物馆&展馆",3.8,4.2,87条点评
商丘博物馆,,商丘,"了解商文化历史文明, 博物馆&展馆",3.8,4.2,87条点评
珍宝馆,,洛阳,特色展馆,3.8,5,20条点评
开封城墙《微梦·大梁门》,,开封,演出,3.8,4.4,14条点评
许慎文化园,4A,漯河,展示汉代建筑和汉字文化,3.8,4.6,100条点评
开封市鼓楼广场,,开封,地标观景,3.8,4.8,6条点评
豫西大峡谷风景区,4A,卢氏,"景致散发着原始、自然气息, 自然山水",3.8,4.5,367条点评
洛阳赏牡丹花,,洛阳,欣赏壮丽的花海,5.9,5,4条点评
开封赏菊花,,开封,欣赏竞相绽放的菊花,4.6,4.3,14条点评
洛阳赏红叶,,洛阳,,4.5,,
郑州赏银杏,,郑州,,3.9,,
包公巡案,4A,开封,"精彩演出，值得一看, 历史建筑",3.8,4.5,14条点评
包公巡案,,开封,"精彩演出，值得一看, 历史建筑",3.8,4.5,14条点评
龙湖金融岛,,郑州,夜游观景,3.8,5,6条点评
河图洛书,,洛阳,近半年新开,3.8,4.8,13条点评
邙山陵墓群,,洛阳,"分布集中的大规模古陵墓群, 历史建筑",3.8,3.5,17条点评
万仙山景区-郭亮景区,,辉县,,3.8,5,2条点评
火神台,,商丘,"我国现存较早的观星台, 历史建筑",3.8,4.3,61条点评
黄帝故里,4A,新郑,祭祀中华始祖黄帝,3.8,4.6,487条点评
郑州商都遗址博物院,,郑州,博物馆&展馆,3.8,4.6,12条点评
七里沟风景区,,鹤壁,登高爬山,3.8,5,1条点评
郑州 · 开心麻花西部沉浸式互动喜剧《婚礼大镖客》,,郑州,演出,3.8,,
德化步行商业街,4A,郑州,城市漫步,3.7,4.6,28条点评
德化步行商业街,,郑州,城市漫步,3.7,4.6,28条点评
云景索道,,栾川,,3.8,3.7,3条点评
水上公交,,许昌,乘船游览,3.7,3.3,7条点评
凤泉湖景区,4A,新密,"有丛林过山车等特色项目, 遛娃宝藏地",3.7,4.8,536条点评
伊龙滑雪场,,洛阳,"体验雪地悠波球项目, 遛娃宝藏地",3.6,4.3,29条点评
尧山福泉温泉,,鲁山,遛娃宝藏地,3.7,4.3,521条点评
功夫天下•秀（禅武人文大剧）,,登封,演出,3.7,5,11条点评
仓巷街,,安阳,"与甜水井街并称为龙凤街, 历史建筑",3.7,4.7,37条点评
鼓楼,,洛阳,"了解鼓楼悠久的历史文化, 历史建筑",3.7,4.1,69条点评
风穴寺,4A,汝州,"建于金代的百年古刹, 历史建筑",3.7,4.5,132条点评
东北庄野生动物园,4A,濮阳,"近距离观赏动物, 动物园&水族馆",3.7,4.2,150条点评
东北庄野生动物园,,濮阳,"近距离观赏动物, 动物园&水族馆",3.7,4.2,150条点评
河南五龙山旅游区,,辉县,夜游观景,3.7,5,3条点评
郑州 · 超沉浸话剧《决命邀约》,,郑州,演出,3.7,,
桐柏山淮源风景区,4A,桐柏,"了解古老的盘古文化, 登高爬山",3.7,4,117条点评
西九华山风景区,4A,固始,"欣赏竹海森林和万亩茶园, 遛娃宝藏地",3.7,3.8,184条点评
天庆观,,开封,"开封府崇奉道教的圣地, 历史建筑",3.7,4.3,58条点评
修定寺唐塔,,安阳县,历史建筑,3.7,4.9,8条点评
金顶山,4A,驻马店,"周末登山休闲后花园, 遛娃宝藏地",3.7,4.2,167条点评
西河古村落景区,,新县,夜游观景,3.7,4,1条点评
宝天曼峡谷漂流,4A,内乡,九曲十八弯的漂流河道,3.7,3.7,83条点评
神游朝歌,5A,鹤壁,"乘客轮看尽两岸迷人景色, 登高爬山",3.7,4.5,24条点评
神游朝歌,,鹤壁,,3.7,4.5,24条点评
丹江风景名胜区,,淅川,"乘客轮看尽两岸迷人景色, 登高爬山",3.7,4.6,29条点评
郑州国际会展中心,,郑州,"郑州市CBD标志性建筑, 特色展馆",3.7,4.7,164条点评
青天河,5A,博爱,"烟波浩渺、波光粼粼, 登高爬山",3.7,4.2,721条点评
地坑院,,中牟,,3.6,4.5,10条点评
云台天瀑,,修武,自然山水,3.7,4.8,37条点评
洛阳 · ［笑场喜剧］洛阳必打卡｜喜剧综艺节目卡司空降｜脱口秀精品秀+即兴喜剧+魔术脱口秀,,洛阳,演出,3.7,,
河南捷途汽车工业研学基地,,开封,,3.7,5,157条点评
茶山,,信阳,,3.6,,
大河村遗址博物馆,,郑州,博物馆&展馆,3.6,4.1,22条点评
九莲山景区,5A,辉县,"形似盛开莲花的高峰峡谷, 登高爬山",3.6,4.2,181条点评
九莲山景区,5A,辉县,"形似盛开莲花的高峰峡谷, 登高爬山",3.6,4.2,181条点评
七峰山生态旅游区,4A,方城,"山势险峻，常年云雾缭绕, 登高爬山",3.6,4.4,188条点评
小寨沟景区,,陵川,"潭瀑密集、水质清澈, 登高爬山",3.6,4.5,159条点评
林州天平山风景区,,林州,"景区内山势雄伟壮丽, 登高爬山",3.6,4.1,149条点评
禹王台,,开封,"曲径通幽的古迹景点群, 历史建筑",3.6,4.7,113条点评
洛阳三彩艺术博物馆,,洛阳,"观赏精致的三彩艺术藏品, 特色展馆",3.6,4.4,67条点评
平原博物馆,,新乡,博物馆&展馆,3.6,4.7,65条点评
定鼎门遗址博物馆,,洛阳,"展示隋唐洛阳城的考古发现, 博物馆&展馆",3.6,4.4,86条点评
二郎山,4A,舞钢,"依山水而建，自然景观丰富, 登高爬山",3.6,4.3,283条点评
陆浑旅游风景区,,嵩县,"娱乐项目齐全, 自然山水",3.6,4.9,27条点评
洛阳博物馆-票务中心,4A,洛阳,"僧尼同在的灵山寺, 登高爬山",3.6,5,1条点评
洛阳博物馆-票务中心,,洛阳,,3.6,5,1条点评
大宋海船,,开封,,3.6,5,1条点评
灵山,4A,罗山,"僧尼同在的灵山寺, 登高爬山",3.6,4.3,216条点评
云台古镇,,修武,遛娃宝藏地,3.6,4.6,135条点评
曹魏不夜城,,许昌,夜游观景,3.6,4.8,4条点评
周公庙,,洛阳,"感受周公解梦的传统文化, 博物馆&展馆",3.6,4.3,99条点评
郑州 · Endless ‘J’ourney James(无尽旅 “程”)生日迷你演唱会,,郑州,livehouse,3.6,,
栾川重渡沟大峡谷漂流,,栾川,"中原竹筏第一漂, 遛娃宝藏地",3.6,4.6,58条点评
郑州奥林匹克体育中心,,郑州,"雄伟壮观、气势非凡, 夜游观景",3.6,4.8,12条点评
郑州奥林匹克体育中心-洋河·梦之蓝体育场,,郑州,,3.6,5,1条点评
太行大峡谷漂流,4A,林州,"避暑胜地，可观地质遗迹, 登高爬山",3.6,4.4,246条点评
太行大峡谷漂流,,林州,,3.6,4.4,246条点评
内乡宝天曼生态文化旅游区,4A,内乡,"避暑胜地，可观地质遗迹, 登高爬山",3.6,4.4,162条点评
秋沟景区,,辉县,"山高林密、峡谷壁垂, 登高爬山",3.6,3.6,98条点评
万佛洞,,洛阳,"整齐排列一万五千尊小佛, 历史建筑",3.6,4.7,127条点评
五龙口风景区,4A,济源,"猕猴自然保护区, 遛娃宝藏地",3.6,4.3,261条点评
丹江口水库,,淅川,地标观景,3.6,4.2,9条点评
黄河索道,,郑州,,3.6,,
南阳五朵山,4A,南召,登高爬山,3.6,4.1,146条点评
奥帕拉拉水公园,,荥阳,"夏季亲水避暑好去处, 遛娃宝藏地",3.6,4.2,695条点评
郑州 · 音乐剧《寻找李二狗》,,郑州,演出,3.6,,
龙潭大峡谷-戏水区,4A,新安,"明清特色的建筑群气势恢宏, 历史建筑",3.6,4.4,107条点评
龙潭大峡谷-戏水区,,新安,,3.6,,
袁寨古民居,,项城,"明清特色的建筑群气势恢宏, 历史建筑",3.5,4.4,107条点评
黄河湾风景区,,兰考,自然山水,3.5,4.2,6条点评
观星台景区,4A,登封,"元代始建的天文观测站, 历史建筑",3.5,4.5,65条点评
高阳山索西亚国际温泉度假区,,三门峡,"泡温泉后观看精彩水秀表演, 度假村",3.5,4.2,101条点评
韩王庙,,安阳,预售中,3.5,4.3,68条点评
挂壁公路,,辉县,,3.5,5,3条点评
叶县县衙博物馆,4A,叶县,"规模宏大的明代五品县衙, 历史建筑",3.5,4.3,91条点评
许昌海洋馆,,许昌,动物园&水族馆,3.5,3.9,36条点评
仰韶文化博物馆,4A,渑池,博物馆&展馆,3.5,4.5,6条点评
黄柏山国家森林公园,4A,商城,"动植物资源丰富的松杉林海, 登高爬山",3.5,4.2,99条点评
黄柏山国家森林公园,4A,商城,"动植物资源丰富的松杉林海, 登高爬山",3.5,4.2,99条点评
河南自然博物馆,,郑州,"矿物岩石的文献与标本众多, 博物馆&展馆",3.5,4.6,182条点评
水秀国际大剧院,,濮阳,演出,3.5,4.7,42条点评
河南省科技馆(新馆),,中牟,科技馆,3.5,3.5,13条点评
戚城考古遗址公园,4A,濮阳,"戚国遗址，仿古风格的公园, 公园&植物园",3.5,4.6,212条点评
嘉应观,4A,武陟,"被誉为河南小故宫, 历史建筑",3.5,4.2,150条点评
焦作云台山风景名胜区-叠彩洞,,修武,"悬崖峭壁之上的盘山隧道, 自然山水",3.5,4.5,146条点评
河洛文明展,,洛阳,特色展馆,3.5,5,11条点评
郑州文庙,,郑州,"欣赏精美的彩绘, 历史建筑",3.5,4.5,135条点评
《知道·老君山》沉浸式演出,,栾川,演出,3.5,1,1条点评
洛阳老城历史文化古街,4A,洛阳,"全国十大美食街之一, 历史建筑",3.5,4.3,15条点评
洛阳老城历史文化古街,,洛阳,"全国十大美食街之一, 历史建筑",3.5,4.3,15条点评
法王寺,,登封,"千年佛教古刹，赏月胜地, 历史建筑",3.5,4.6,83条点评
天梯,,辉县,"与地面垂直，呈倒坎崖之势, 登高爬山",3.5,4.3,29条点评
月季公园,,郑州,"观赏不同品种的月季, 公园&植物园",3.5,4.8,92条点评
内黄岳飞庙,,内黄,,3.4,4.5,7条点评
洛阳民俗博物馆,,洛阳,"观赏精美的民俗风物, 博物馆&展馆",3.4,4.4,88条点评
同盟古镇,,获嘉,"观仿古建筑，品特色美食, 夜游观景",3.4,4.4,17条点评
老君庙,,栾川,夜游观景,3.4,5,4条点评
濮水小镇,4A,濮阳县,城市漫步,3.4,5,1条点评
龙门西山石窟-莲花洞,,洛阳,"窟顶雕有浮雕大莲花, 自然山水",3.4,4.6,104条点评
太室阙,4A,登封,历史建筑,3.4,4.5,14条点评
太室阙,,登封,历史建筑,3.4,4.5,14条点评
建业七盛角,,开封,"全仿宋建筑文化休闲街区, 城市漫步",3.4,4.5,75条点评
五龙山滑雪场,,辉县,"驰骋在林海雪原, 户外滑雪",3.3,3.3,49条点评
周口市关帝庙景区,4A,周口,"艺术价值较高的古建筑, 历史建筑",3.4,4,78条点评
星宿川沙滩营地,,信阳,夜游观景,3.4,2.4,7条点评
郑州市人民公园,,郑州,"纪念胡景翼将军而建, 夜游观景",3.4,4.6,295条点评
南阳武侯祠博物馆,,南阳,博物馆&展馆,3.4,4.9,93条点评
南坪村,,辉县,"避暑圣地，被誉清幽之乡, 登高爬山",3.4,4.8,26条点评
朝歌文化公园,4A,鹤壁,夜游观景,3.4,5,6条点评
郑州大学,,郑州,国内知名高校,3.4,4.6,213条点评
王城公园动物园,4A,洛阳,动物园&水族馆,3.4,4.5,17条点评
王城公园动物园,,洛阳,动物园&水族馆,3.4,4.5,17条点评
河南宝泉旅游区-观景台,,辉县,,3.4,5,1条点评
中国黄河第一铁路桥遗址,,郑州,"新中国成立以前较长的桥, 历史建筑",3.4,4.4,59条点评
道教文化区-仙人观云海,,栾川,,3.3,5,3条点评
唐三彩馆,,洛阳,博物馆&展馆,3.4,4.9,17条点评
芒砀山地质公园,,永城,自然山水,3.3,3.6,89条点评
大梁门,,开封,夜游观景,3.3,5,2条点评
沙澧河风景区,4A,漯河,"充满田园风光的城市氧吧, 自然山水",3.3,4.8,235条点评
西峡老君洞,4A,西峡,"众多岩石溶洞，道教文化浓, 遛娃宝藏地",3.3,4,82条点评
龙门牡丹园,,洛阳,遛娃宝藏地,3.3,4.2,7条点评
石佛寺,4A,镇平,"墨家文化主题，春秋建筑风, 城市漫步",3.3,4.8,10条点评
石佛寺,,镇平,,3.3,4.8,10条点评
墨子战国里,4A,鲁山,"墨家文化主题，春秋建筑风, 城市漫步",3.3,3.5,116条点评
许昌关帝庙,,许昌,,3.3,4.4,21条点评
老君山景区-玻璃观景台,,栾川,,3.3,5,1条点评
禾木,,长垣,,3.3,,
少室山,,登封,"山势陡峭壮观，似剑戟罗列, 登高爬山",3.3,4.8,85条点评
尧山天河漂流,,鲁山,漂流河道落差明显,3.3,4.7,141条点评
清凉台,,洛阳,历史建筑,3.3,4.5,53条点评
水往高处流,,新安,,3.3,,
许世友将军故里,4A,新县,历史建筑,4,,
龙门宴乐,4A,洛阳,"两岸青山对峙，夹一带绿水, 自然山水",3.3,5,2条点评
龙门宴乐,,洛阳,,3.3,5,2条点评
子房湖,,修武,"两岸青山对峙，夹一带绿水, 自然山水",3.3,4.4,108条点评
龙潭沟景区,4A,西峡,"石奇崖险，瀑布密集, 登高爬山",3.3,4.2,249条点评
红旗渠・太行山《太行红日》大型实景演出,,林州,近一年新开,3.3,3.9,8条点评
河洛古城,,洛阳,夜游观景,3.3,3.5,4条点评
轿顶山,4A,辉县,"此山龙行高亢，山脉绵长, 登高爬山",3.3,4,21条点评
殷墟车马坑展厅,,安阳,"欣赏珍贵的殷代马车, 历史建筑",3.3,4.6,83条点评
红石林景区,4A,新密,"观赏错落有致的红石林, 遛娃宝藏地",3.3,4.8,341条点评
黄河游览区,,开封,"炎黄子孙对黄河的依恋之情, 自然山水",3.3,4.5,17条点评
郑州 · 新中式舞蹈秀《叹春风》,,郑州,舞蹈舞剧,3.4,,
挂壁栈道,4A,辉县,动物园&水族馆,3.2,5,1条点评
挂壁栈道,,辉县,,3.2,5,1条点评
商丘圣嘉极地海洋世界,,商丘,动物园&水族馆,3.3,4.4,24条点评
朱仙镇岳飞庙,,开封,纪念岳飞的名镇古庙,3.3,4.1,252条点评
青龙山慈云寺,,巩义,"林木掩映中的千年古寺, 历史建筑",3.2,4.2,156条点评
追梦谷,,栾川,"林木葱郁、山花芳香, 自然山水",3.3,4.7,26条点评
伊河,,洛阳,自然山水,3.2,4.7,74条点评
濮上园,4A,濮阳,"绿色自然，温情旖旎, 度假村",3.2,4.6,74条点评
收藏,,郑州,,3.3,,
清明上河图浮雕,,开封,"石雕版《清明上河图》, 地标观景",3.2,5,7条点评
瑞光创意工厂,,郑州,"有创意涂鸦的网红拍照胜地, 夜游观景",3.2,4.5,14条点评
武皇盛宴（老城十字街店）,,洛阳,历史建筑,3.2,4.6,68条点评
武皇盛宴（老城十字街店）,,洛阳,近两年新开,3.2,,
嵩岳寺塔,,登封,历史建筑,3.2,4.6,68条点评
龙溪温泉,,辉县,"依山而建特色窑洞温泉, 遛娃宝藏地",3.2,4.3,21条点评
朝歌,,淇县,历史建筑,3.2,5,2条点评
悬空寺,,鹤壁,历史建筑,3.2,3.5,4条点评
逍遥镇,,西华,"观沙河渡口，品小吃胡辣汤, 古镇古村",3.2,4.8,39条点评
洛阳花果山景区,,宜阳,"西游文化色彩浓郁, 登高爬山",3.2,4.2,77条点评
三门峡庙底沟博物馆,,三门峡,博物馆&展馆,3.2,4.3,8条点评
河南大学(明伦校区),,开封,绿树林荫中的百年名校,3.2,4.7,219条点评
郑州北大清真寺,,郑州,重檐歇山楼阁式建筑,3.2,4.8,39条点评
金兰山国家森林公园,4A,新县,"国家森林公园, 登高爬山",3.2,2.9,20条点评
金兰山国家森林公园,4A,新县,"国家森林公园, 登高爬山",3.2,2.9,20条点评
竹林长寿山,4A,巩义,"登山间步道望远山近景, 遛娃宝藏地",3.2,3.8,688条点评
南天门,,栾川,夜游观景,3.2,3.7,3条点评
太行屋脊景区,,林州,"中国书画写生基地, 登高爬山",3.2,4.4,117条点评
州桥及汴河遗址临展馆,,开封,,3.2,5,1条点评
木兰祠,,虞城,记载花木兰的传奇一生,3.2,4.8,28条点评
八里沟大瀑布,,辉县,"瀑布的豁口如龙口一般, 自然山水",3.2,4.4,25条点评
商丘 · 青春回响，音乐之夜 群星演唱会,,商丘,演唱会,,,
颛顼帝喾陵,,内黄,历史建筑,3.2,4.7,30条点评
中国月季园,,南阳,"大型月季园，品种丰富多样, 遛娃宝藏地",3.2,4.3,67条点评
凤凰岭,,修武,"参观两株千年古枫, 登高爬山",3.2,4.4,46条点评
凤凰岭,,修武,"参观两株千年古枫, 登高爬山",3.2,4.4,46条点评
灵山风景区,,宜阳,"赏山门阁楼，观明朝佛像, 历史建筑",3.2,4.4,211条点评
风景区,,三门峡,"城市的公园，落有古寺塔, 历史建筑",3.2,4.9,73条点评
三门峡博物馆,,三门峡,"了解三门峡的历史, 博物馆&展馆",3.2,4.6,15条点评
驻马店市博物馆,,驻马店,"第三批国家二级博物馆, 博物馆&展馆",3.2,4.5,31条点评
鹿台阁,,鹤壁,历史建筑,3.2,5,4条点评
香山普门禅寺,,宝丰,历史建筑,3.2,5,9条点评
龙门古街,,洛阳,,3.1,4.7,7条点评
郑州极地冰雪小镇,,郑州,冰雪乐园,3.2,4.9,55条点评
朱仙镇,,开封,"木版年画的发源地, 古镇古村",3.2,4.8,39条点评
潜溪寺,4A,洛阳,"佛像静穆慈祥的西山石窟, 历史建筑",3.2,4.6,39条点评
潜溪寺,,洛阳,"佛像静穆慈祥的西山石窟, 历史建筑",3.2,4.6,39条点评
